sofifa_id,nationality,club_name,league_name
165880,Korea Republic,Suwon Samsung Bluewings,Korean K League Classic
169159,Norway,Aalesunds FK,Norwegian Eliteserien
169912,England,Plymouth Argyle,English League One
170056,Jamaica,Swindon Town,English League One
170072,Jamaica,Port Vale,English League Two
171923,Republic of Ireland,St. Mirren,Scottish Premiership
172680,England,Walsall,English League Two
172952,France,Morecambe,English League Two
173836,England,Carlisle United,English League Two
175598,China PR,Dalian YiFang FC,Chinese Super League
176296,Korea Republic,GwangJu FC,Korean K League Classic
176472,Bolivia,Always Ready,Liga de Fútbol Profesional Boliviano
176592,Lithuania,SSV Jahn Regensburg,German 2. Bundesliga
177156,Germany,Bayern München II,German 3. Bundesliga
177285,France,Stevenage,English League Two
177414,England,Port Vale,English League Two
179860,England,Cheltenham Town,English League Two
180352,Republic of Ireland,Shamrock Rovers,Rep. Ireland Airtricity League
181477,Australia,Newcastle Jets,Australian Hyundai A-League
182474,China PR,Dalian YiFang FC,Chinese Super League
183233,Poland,Raków Częstochowa,Polish T-Mobile Ekstraklasa
183549,England,St. Johnstone FC,Scottish Premiership
183784,Serbia,FC Vaduz,Swiss Super League
183807,Republic of Ireland,Newport County,English League Two
183993,Sweden,Kalmar FF,Swedish Allsvenskan
184269,England,Tranmere Rovers,English League Two
184334,Korea Republic,FC Seoul,Korean K League Classic
184491,England,Leyton Orient,English League Two
184549,Switzerland,FC Zürich,Swiss Super League
184615,Scotland,Hibernian,Scottish Premiership
185226,Scotland,Ross County FC,Scottish Premiership
186198,England,Gillingham,English League One
186370,Northern Ireland,Ross County FC,Scottish Premiership
186607,Italy,Cagliari,Italian Serie A
186751,England,Oldham Athletic,English League Two
187144,Korea Republic,Ulsan Hyundai FC,Korean K League Classic
187796,England,St. Mirren,Scottish Premiership
188900,Scotland,Ross County FC,Scottish Premiership
189159,England,Grimsby Town,English League Two
189163,Scotland,Gillingham,English League One
189281,England,Cheltenham Town,English League Two
189307,England,Crawley Town,English League Two
189895,Spain,Sandefjord Fotball,Norwegian Eliteserien
190559,Ecuador,El Nacional,Ecuadorian Serie A
190732,Poland,Podbeskidzie Bielsko-Biała,Polish T-Mobile Ekstraklasa
